sanskrit_root,pie_root,iecor_pie_root,set,pie_ends_with_laryngeal,gemini_pie_root,gemini_best_guess,wiktionary_pie_roots,wiktionary_pii_roots,wiktionary_status
लड्,,,Y,-,,Y,,,no_pie_found
लल्,,,Y,Y,*lelH-,N,,,no_pie_found
कड्,kā̆d-,,Y,N,*sked-,N,,,no_pie_found
कण्ड्,"kand-, skand-, and Indo-Iranian (s)kend-",,Y,N,*kʷend-,N,,,missingtitle
गण्ड्,,,Y,N,*gʷʰen-,N,,,no_pie_found
तिप्,,,N,N,*steyp-,Y,,,missingtitle
तेप्,tep-,,Y,N,*tep-,Y,,,missingtitle
स्तिप्,,,Y,N,*steyp-,Y,,,missingtitle
स्तेप्,,,Y,N,*steyp-,Y,,,missingtitle
ग्लेप्,,,Y,N,*gleyp-,N,,,missingtitle
वेप्,,,Y,N,*wep-,N,,,no_pie_found
केप्,,,Y,N,*kep-,N,,,missingtitle
गेप्,,,Y,N,*gebh-,N,,,missingtitle
ग्लेप्,,,Y,N,*gleyp-,N,,,missingtitle
मेप्,,,Y,N,*h₂mep-,Y,,,missingtitle
रेप्,rep-,,Y,N,*h₁rep-,Y,,,missingtitle
लेप्,"lēp-, lōp-, ləp-",,Y,N,*h₁leybʰ-,,*leyp-,,ok
हेप्,,,Y,N,*seh₁p-,Y,,,missingtitle
धेप्,,,Y,N,*dʰeh₁p-,Y,,,missingtitle
त्रप्,,,N,N,*trep-,,*trep-,,ok
कम्प्,kam-p-,,Y,N,*kamp-,,*kh₂em-,,ok
रम्ब्,,,Y,N,*wrembʰ-,Y,,,missingtitle
लम्ब्,,,Y,-,,,*(s)lembʰ-,,ok
अम्ब्,,,Y,-,,,,,no_pie_found
लम्ब्,,,Y,-,,,*(s)lembʰ-,,ok
कब्,,,Y,-,,,,,no_sanskrit_section
क्लीब्,,,Y,-,,,,,no_sanskrit_section
क्षीब्,,,Y,N,*skʷēy-,N,,,missingtitle
क्षीव्,,,Y,Y,*gʷih₃-,Y,,,missingtitle
शीभ्,,,Y,-,,Y,,,missingtitle
लौड्,,,Y,-,,Y,,,missingtitle
चीभ्,,,Y,-,,Y,,,missingtitle
रेभ्,,,Y,N,*h₁reǵʰ-,N,,,no_pie_found
अम्भ्,,,Y,N,*h₂nebʰ-,N,,,missingtitle
रम्भ्,,,Y,N,*h₁rembʰ-,Y,,,no_pie_found
सिध्,,,N,Y,*seh₂-,,*ḱyesdʰ-,*sáydʰ,ok
स्तम्भ्,,,Y,N,*stembh-,,*stebʰ-,,ok
स्कम्भ्,,,Y,N,*(s)tep-,,,*skambʰás; *skabʰ-,ok
जभ्,,,Y,N,*ǵʰabh-,Y,,,missingtitle
जृम्भ्,,,Y,N,*ǵrembʰ-,Y,,,no_pie_found
शल्भ्,,,Y,N,*selbʰ-,Y,,,missingtitle
वल्भ्,,,Y,N,*welbʰ-,Y,,,missingtitle
गल्भ्,,,Y,N,*gelbʰ-,Y,,,missingtitle
श्रम्भ्,,,Y,N,*srembʰ-,Y,,,missingtitle
स्रम्भ्,,,Y,N,*sremb-,Y,,,missingtitle
स्तुभ्,,,Y,N,*stebʰ-,N,,,missingtitle
गुप्,,,Y,N,*gʷʰobʰ-,,,,no_pie_found
धूप्,,,Y,Y,*dʰuh₂-,,,,no_pie_found
जप्,,,Y,-,,Y,,,no_pie_found
जल्प्,,,Y,-,,Y,,,missingtitle
चप्,,,Y,N,*(s)tep-,Y,,,no_pie_found
सप्,"sap-, sab-",,Y,N,*sep-,,*sep-,,ok
रप्,"rāp-, rēp-",,Y,-,,Y,,,missingtitle
लप्,lāp-,,Y,N,*lep-,N,*lep-,,ok
चुप्,,,Y,N,*kʷēp-,Y,,,no_sanskrit_section
तुप्,,,Y,N,*stewp-,Y,,,missingtitle
तुम्प्,,,Y,N,*tewp-,Y,,,missingtitle
त्रुप्,,,Y,N,*trewp-,Y,,,missingtitle
त्रुम्प्,,,Y,N,*dremb-,Y,,,missingtitle
तुफ्,,,Y,N,*tup-,Y,,,missingtitle
तुम्फ्,,,Y,N,*tump-,Y,,,missingtitle
त्रुफ्,,,Y,N,*droub-,Y,,,missingtitle
त्रुम्फ्,,,Y,N,*dremb-,Y,,,missingtitle
पर्प्,,,Y,N,*per-,N,,,missingtitle
रफ्,,,Y,N,*rebh-,Y,,,missingtitle
रम्फ्,,,Y,-,,Y,,,missingtitle
अर्ब्,,,Y,N,*h₁erbʰ-,N,,,no_sanskrit_section
पर्ब्,,,Y,-,,Y,,,missingtitle
लर्ब्,,,Y,N,*h₂lebʰ-,Y,,,missingtitle
बर्ब्,,,Y,N,*bʰer-,Y,,,missingtitle
मर्ब्,,,Y,N,*mer-,Y,,,missingtitle
कर्ब्,,,Y,N,*ker-,Y,,,missingtitle
खर्ब्,,,Y,N,*ǵʰer-,Y,,,no_sanskrit_section
गर्ब्,,,Y,N,*gʷerbʰ-,N,,,missingtitle
शर्ब्,,,Y,-,,Y,,,missingtitle
सर्ब्,,,Y,-,,Y,,,no_sanskrit_section
चर्ब्,,,Y,-,,Y,,,missingtitle
कुम्ब्,,,Y,N,*kʷemp-,Y,,,missingtitle
लुम्ब्,,,Y,N,*lumbʰ-,Y,,,missingtitle
तुम्ब्,,,Y,Y,*tewh₂-,Y,,,missingtitle
चुम्ब्,,,Y,N,*ǵʰembʰ-,,,,no_pie_found
सृभ्,,,Y,N,*srewbʰ-,Y,,,missingtitle
सृम्भ्,,,Y,N,*srembʰ-,Y,,,missingtitle
सिभ्,,,Y,N,*seybʰ-,Y,,,missingtitle
सिम्भ्,,,Y,N,*s(w)em(bʰ)-,Y,,,missingtitle
शुभ्,,,Y,N,*ḱewbʰ-,,*ḱewbʰ-; *(s)kewh₁-; *ḱew-,*ćawbʰ-,ok
शुम्भ्,,,Y,N,*skubh-,Y,*ḱewbʰ-; *ḱew-,,ok
घिण्ण्,,,Y,N,*gʷʰen-,Y,,,no_pie_found
घुण्ण्,,,Y,N,*gʷʰen-,Y,,,missingtitle
घृण्ण्,,,Y,N,*gʷʰren-,Y,,,missingtitle
घुण्,,,Y,N,*gʷʰen-,N,,,no_pie_found
घूर्ण्,,,Y,N,*gʷʰer-,N,,,no_pie_found
पण्,pā̆n-,,Y,Y,*peh₂-,,*pel-; *perh₂-,,ok
पन्,,,Y,N,*pent-,,*weyp-,,ok
भाम्,,,Y,Y,*bʰeh₂-,,*bʰeh₂-,*bʰáHmas,ok
क्षम्,,,N,N,*kem-,N,,,missingtitle
कम्,kā̆m-,,Y,N,*ḱem-,,*keh₂-,*káHmas,ok
अण्,,,Y,Y,*h₁enh₂-,N,,,no_sanskrit_section
रण्,,,Y,N,*Hren-,Y,,,no_pie_found
वण्,,,Y,Y,*wenh₁-,N,,,no_pie_found
भण्,,,Y,Y,*bʰeh₂-,,,,missingtitle
मण्,,,Y,N,*men-,N,,,no_sanskrit_section
कण्,kan-,,Y,N,*kan-,Y,,,no_sanskrit_section
क्वण्,,,Y,-,,Y,,,missingtitle
व्रण्,,,Y,-,,Y,*wer-,,ok
भ्रण्,,,Y,N,*bhren-,N,,,missingtitle
ध्वण्,,,Y,N,*dʰwen-,Y,,,missingtitle
धण्,,,Y,N,*dʰen-,Y,,,missingtitle
ओण्,,,Y,N,*h₁e-,Y,,,missingtitle
शोण्,,,Y,N,*ḱwen-,Y,*ḱów-no-; *ḱew-,,ok
श्रोण्,,,Y,N,*ḱlew-,N,,,missingtitle
श्लोण्,,,Y,N,*ḱlew-,N,,,missingtitle
पैण्,,,Y,Y,*peiH-,Y,,,missingtitle
प्रैण्,,,Y,Y,*perH-,Y,,,missingtitle
ध्रण्,,,Y,N,*dʰer-,Y,,,missingtitle
बण्,,,Y,Y,*bʰeh₂-,Y,,,missingtitle
कन्,kan-,,Y,N,*kan-,N,*kenh₂-; *keh₂-,*kanH-,ok
स्तन्,,,Y,N,*sten-,,*(s)tenh₂-,,ok
वन्,,,Y,Y,*wenh₁-,,*wen-; *wenh₁-,*wán-,ok
वन्,,,Y,Y,*wenh₁-,,*wen-; *wenh₁-,*wán-,ok
सन्,,,Y,N,*h₁es-,,*senh₂-,*sanH-,ok
अम्,amə-,,Y,N,*h₂em-,,*h₃emh₃-,,ok
द्रम्,,,Y,N,*drem-,Y,,,missingtitle
हम्म्,,,Y,N,*kem-,Y,,,missingtitle
मीम्,,,Y,Y,*meh₁-,,,,no_sanskrit_section
चम्,,,Y,N,*(s)kem-,Y,*kʷem-,,ok
छम्,,,Y,N,*skend-,Y,,,missingtitle
जम्,,,Y,N,*ǵem-,,,,no_sanskrit_section
झम्,,,Y,N,*gʷʰem-,Y,,,missingtitle
जिम्,,,Y,N,*ǵem-,Y,,,missingtitle
क्रम्,,,Y,N,*ḱrem-,,,*krā́mHti,ok
अय्,,,Y,N,*h₁ey-,,,,no_sanskrit_section
वय्,,,Y,Y,*h₂weyh₁-,,,,no_sanskrit_section
पय्,,,Y,Y,*peh₃-,,,,no_pie_found
मय्,,,Y,Y,*meh₁-,N,,,no_sanskrit_section
चय्,,,Y,Y,*kʷyeh₁-,,,,no_pie_found
तय्,,,Y,Y,*teh₂-,,,,no_sanskrit_section
नय्,,,Y,N,*h₂ne-,,,,no_pie_found
दय्,,,Y,Y,*deh₁-,,*dwey-; *deh₂y-; *deh₂-,,ok
रय्,,,Y,N,*h₁rei-,,,,no_pie_found
यय्,,,Y,N,*h₁i-,,,,missingtitle
ऊय्,,,Y,Y,*h₂weyh₁-,Y,,,no_sanskrit_section
पूय्,,,Y,Y,*puH-,,,*puH-,ok
क्नूय्,,,Y,Y,*ǵneh₂-,Y,,,missingtitle
क्ष्माय्,,,Y,N,*dʰéǵʰōm,Y,,,missingtitle
स्फाय्,,,Y,Y,*speh₁-,N,,,missingtitle
प्याय्,,,Y,N,*pī(H)-,,,,no_pie_found
ताय्,,,Y,N,*stā-,,,,no_sanskrit_section
शल्,,,Y,N,*skel-,Y,,,missingtitle
वल्,,,Y,Y,*welH-,N,*welH-,,ok
वल्ल्,,,Y,Y,*welH-,N,,,missingtitle
मल्,,,Y,Y,*melH-,N,,,no_pie_found
मल्ल्,,,Y,Y,*melH-,Y,,,no_pie_found
भल्,,,Y,N,*bhel-,Y,*bʰel-; *bʰeh₂-,,ok
भल्ल्,,,Y,N,*bhel-,Y,*bʰerH-,,ok
कल्,,,Y,N,*kel-,N,*kel-,,ok
कल्ल्,,,Y,N,*kel-,Y,,,no_pie_found
तेव्,,,Y,N,*tekw-,Y,,,missingtitle
देव्,,,Y,N,*deywós,,*deywós,*daywás,ok
सेव्,,,Y,N,*sekw-,Y,,,no_pie_found
गेव्,,,Y,Y,*gʷeh₂-,Y,,,missingtitle
ग्लेव्,,,Y,-,,,,,missingtitle
पेव्,,,Y,-,,,,,missingtitle
मेव्,,,Y,-,,,,,missingtitle
म्लेव्,,,Y,-,,,,,missingtitle
शेव्,,,Y,-,,,*ḱey-,*ćáyHwas,ok
खेव्,,,Y,N,*ǵʰew-,,,,missingtitle
प्लेव्,,,Y,N,*plew-,,,,missingtitle
केव्,,,Y,Y,*kʷeyH-,N,,,missingtitle
रेव्,,,Y,Y,*HrewH-,N,,,missingtitle
मव्य्,,,Y,Y,*mewH-,Y,,,no_pie_found
सूर्क्ष्य्,,,Y,-,,Y,,,missingtitle
ईर्क्ष्य्,,,Y,N,*Hyeh₁s-,Y,,,missingtitle
ईर्ष्य्,,,Y,N,*h₁ers-,N,,,missingtitle
हय्,,,Y,Y,*ǵʰeh₂-,Y,*ǵʰéyos,*źʰáyas; *ȷ́ʰáyas,ok
शुच्य्,,,Y,N,*ḱweyt-,,,,missingtitle
चुच्य्,,,Y,-,,Y,,,missingtitle
हर्य्,,,Y,Y,*ǵʰelh₂-,,*gʰer-,*gʰárH-,ok
अल्,,,Y,N,*h₂el-,Y,,,no_pie_found
फल्,,,Y,N,*bʰel-,,*(s)pelH-; *bʰel-,,ok
मील्,,,Y,Y,*melh₂-,Y,,,no_pie_found
श्मील्,,,Y,N,*smel-,Y,,,missingtitle
स्मील्,,,Y,N,*smel-,Y,,,missingtitle
क्ष्मील्,,,Y,-,,,,,missingtitle
पील्,,,Y,N,*pel-,Y,,,no_sanskrit_section
नील्,,,Y,N,*nei-,Y,,,no_pie_found
शील्,,,Y,Y,*kʷelH-,,,,no_pie_found
कील्,,,Y,Y,*gʷelH-,Y,,,no_sanskrit_section
कूल्,,,Y,N,*kʷel-,Y,*kel-; *(s)kewH-; *kelH-,,ok
शूल्,,,Y,N,*sū̆l-,Y,,,no_pie_found
तूल्,,,Y,Y,*telh₂-,Y,,,no_sanskrit_section
पूल्,,,Y,Y,*pelh₂-,N,,,no_sanskrit_section
मूल्,,,Y,N,*h₂mel-,,,,no_pie_found
फल्,,,Y,N,*bʰel-,,*(s)pelH-; *bʰel-,,ok
चुल्ल्,,,Y,N,*kʷel-,Y,,,no_sanskrit_section
फुल्ल्,,,Y,N,*bʰel-,,*bʰleh₃-,,ok
चिल्ल्,,,Y,N,*skel-,Y,,,missingtitle
तिल्,,,Y,N,*til-,Y,,,no_pie_found
तिल्ल्,,,Y,N,*tel-,Y,,,missingtitle
वेल्,,,Y,Y,*welH-,,,,missingtitle
चेल्,,,Y,N,*kʷel-,Y,,,missingtitle
केल्,"kēl-, kōl-, kəl-",,Y,Y,*kelh₁-,N,,,no_pie_found
खेल्,,,Y,N,*ghel-,Y,,,no_pie_found
क्ष्वेल्,,,Y,N,*kwel-,Y,,,no_pie_found
वेल्ल्,,,Y,Y,*welH-,,,,no_pie_found
चेल्ल्,,,Y,N,*kel-,Y,,,missingtitle
पेल्,"pelə-, plā-",,Y,Y,*pelh₂-,Y,,,missingtitle
फेल्,phel-,,Y,N,*bhel-,Y,,,no_pie_found
शेल्,,,Y,N,*swel-,Y,,,missingtitle
सेल्,,,Y,N,*sel-,Y,,,no_sanskrit_section
स्खल्,,,Y,Y,*skelH-,,*(s)gʷʰh₂el-,*skHal-,ok
खल्,,,Y,N,*skel-,Y,,,no_pie_found
गल्,,,Y,Y,*gʷelH-,Y,*gʷel-,*gál,ok
सल्,,,Y,N,*sal-,N,,,no_sanskrit_section
दल्,,,Y,Y,*dalh₂-,Y,*delh₁-,,ok
श्वल्,,,Y,N,*swel-,N,,,missingtitle
श्वल्ल्,,,Y,N,*swel-,Y,,,missingtitle
खोल्,,,Y,N,*ghel-,Y,,,no_sanskrit_section
खोर्,,,Y,N,*ǵʰʰer-,N,,,no_pie_found
धोर्,,,Y,N,*dʰer-,N,,,missingtitle
त्सर्,,,Y,N,*ters-,N,*tsel-,*tsar-,ok
क्मर्,,,Y,N,*ǵem-,Y,,,missingtitle
अभ्र्,,,Y,N,*nebʰ-,Y,,*abʰrás; *n̥bʰrós,ok
वभ्र्,,,Y,N,*webʰ-,Y,,,missingtitle
मभ्र्,,,Y,N,*mebʰ-,Y,,,missingtitle
चर्,,,Y,N,*kʷer-,,,,no_pie_found
ष्ठिव्,,,Y,N,*ptu-,,,,missingtitle
जि,,,Y,Y,*ǵʰiH-,,,,no_pie_found
जीव्,,*gʷi̯eh₃-,Y,N,*gʷih₃w-,,*gʷeyh₃-,*ǰayHw-,ok
पीव्,,,Y,Y,*piH-,,,,missingtitle
मीव्,,,Y,N,*meiH₁-,,*m(y)ewh₁-,*míHw-,ok
तीव्,,,Y,N,*stéi̯ǵʰ-,,,,missingtitle
नीव्,,,Y,N,*ney-,Y,,,missingtitle
क्षीव्,,,Y,Y,*gʷih₃-,Y,,,missingtitle
क्षेव्,,,Y,Y,*kʷyeh₁-,Y,,,missingtitle
ऊर्व्,,,Y,N,*h₁wer-,N,,,missingtitle
तूर्व्,,,Y,N,*twer-,Y,,,missingtitle
थूर्व्,,,Y,-,,Y,,,missingtitle
दूर्व्,,,Y,-,,Y,,,missingtitle
धूर्व्,,,Y,N,*dʰwer-,Y,*dʰwerh₁-,,ok
गूर्व्,,,Y,Y,*gʷerH-,N,,,missingtitle
मूर्व्,,,Y,N,*smerv-,Y,,,missingtitle
पूर्व्,,,Y,N,*pel-,,*pr̥h₂wós; *preh₂-,*pr̥Hwás,ok
पर्व्,,,Y,N,*per-,N,,,no_sanskrit_section
मर्व्,,,Y,N,*mer-,Y,,,missingtitle
चर्व्,,,Y,N,*ǵʰer-,N,,,no_pie_found
भर्व्,,,Y,N,*bʰer-,N,,*bʰarw-,ok
पर्ष्,,,Y,N,*pers-,N,*pers-,*paršás,ok
बंह्,,,Y,N,*bʰenǵʰ-,,,,missingtitle
कर्व्,,,Y,N,*ker-,N,,,missingtitle
खर्व्,,,Y,N,*gher-,Y,,,no_pie_found
गर्व्,,,Y,Y,*gʷerH-,N,,,no_pie_found
अर्व्,,,Y,N,*h₃erw- (to set in motion),,,,missingtitle
शर्व्,,,Y,N,*ḱer-,Y,,*Ćarwás,ok
सर्व्,,,Y,N,*ser-,N,,,no_pie_found
इन्व्,,,Y,N,*h₁ei-,Y,,,missingtitle
पिन्व्,,,Y,Y,*peiH-/*piH-,,,,missingtitle
मिन्व्,,,Y,N,*mei-,,,,missingtitle
निन्व्,,,Y,N,*h₁nei-,Y,,,missingtitle
सिन्व्,,,Y,N,*sēi-,Y,*seh₂-,,ok
हिन्व्,,,Y,Y,*ǵʰeyh₂-,N,,,missingtitle
दिन्व्,,,Y,N,*dyeu-,Y,,,missingtitle
धिन्व्,,,Y,Y,*dʰenh₂-,Y,,,missingtitle
जिन्व्,,,Y,Y,*gʷih₃-,Y,,,missingtitle
रिन्व्,,,Y,Y,*reiH-,Y,,,missingtitle
रन्व्,,,Y,N,*h₂ren-,N,,,missingtitle
धन्व्,,,Y,N,*dʰen-,N,,,missingtitle
कृन्व्,,,Y,N,*kʷel-,,,,missingtitle
मव्,,,Y,Y,*meh₂-,N,,,no_pie_found
अव्,,,Y,N,*h₂eṷ-,,*h₁ewH-,,ok
धाव्,,*dʰeu̯-,Y,N,*dʰew-,,,,missingtitle
धुक्ष्,,,Y,N,*dʰewgʷʰ-,N,,,missingtitle
धिक्ष्,,,Y,N,*deyḱ-,N,,,missingtitle
वृक्ष्,,,Y,N,*wreǵ-,Y,,,no_pie_found
शिक्ष्,,,Y,N,*dek-,Y,*ḱek-,*ćikš-,ok
भिक्ष्,,,Y,N,*bʰeg-,Y,,,no_pie_found
क्लेश्,,,Y,Y,*gleh₂-,,,,no_pie_found
दक्ष्,,,Y,N,*deḱ-,N,*deḱs-,,ok
दीक्ष्,,,Y,N,*deyǵʰ-,Y,*deḱ-,,ok
ईक्ष्,,,Y,N,*sekʷ-,,*h₃ókʷs,,ok
ईष्,,,Y,N,*h₁eys-,N,,,missingtitle
भाष्,,,Y,Y,*bʰeh₂-,N,*bʰel-; *bʰeh₂-,,ok
वर्ष्,,,Y,N,*wers-,,,,no_pie_found
गेष्,,,Y,N,*ǵʰēy-,Y,,,missingtitle
ग्लेष्,,,Y,N,*gleh₁y-,Y,,,missingtitle
पेष्,,,Y,N,*pis-,,,,missingtitle
एष्,es-,,Y,N,*h₁ey-,,,,no_pie_found
येष्,,,Y,Y,*yeh₁-,Y,,,missingtitle
जेष्,,,Y,N,*ǵʰēy-,N,,,missingtitle
नेष्,nes-,,Y,N,*ned-,Y,,,missingtitle
एष्,es-,,Y,N,*h₁ey-,,,,no_pie_found
प्रेष्,,,Y,N,*spred-,,,,no_pie_found
रेष्,,,Y,N,*h₁rey-,Y,,*rayšás,ok
हेष्,,,Y,N,*h₂ēǵʰ-,Y,*ǵʰey-,*źʰáyṣ-; *ȷ́ʰáyš-,ok
ह्रेष्,,,Y,N,*ghrei-,Y,,,no_pie_found
कास्,"k̑as-, k̑as-no-",,Y,N,*kʷeh₁s-,,*kʷeh₂s-,,ok
भास्,,,Y,Y,*bʰeh₂-,,*bʰeh₂-,*bʰáHas,ok
नास्,nas-,,Y,N,*nas-,,,,no_sanskrit_section
रास्,,,Y,Y,*dʰeh₁-,,*Hrey-,,ok
नस्,nas-,,Y,N,*ned-,,*néh₂s; *nes-,*nas; *n̥smé; *náHs; *nas-,ok
भ्यस्,,,Y,Y,*bʰiH-,N,,,missingtitle
शंस्,,,Y,N,*ḱens-,,*ḱens-,,ok
ग्रस्,gras- : grō̆s-,,Y,N,*gʷorh-,,*gʷerh₃-,,ok
ग्लस्,,,Y,Y,*ǵleh₂-,N,,,missingtitle
ईह्,,,Y,Y,*yeh₁-,,,,missingtitle
वंह्,,,Y,N,*wegʷʰ-,,,,missingtitle
मंह्,,,Y,N,*men-,,,*manȷ́ʰ-,ok
अंह्,,,Y,N,*h₂eŋʰ-,,,,missingtitle
गर्ह्,,,Y,Y,*gʷerH-,N,*galǵʰ-,,ok
गल्ह्,,,Y,Y,*gʷelh₂-,N,,,missingtitle
बर्ह्,,,Y,N,*bʰerǵʰ-,,,,missingtitle
बल्ह्,,,Y,N,*bʰel-,Y,,,missingtitle
वर्ह्,,,Y,N,*werǵʰ-,,,,missingtitle
वल्ह्,,,Y,Y,*welH-,,,,missingtitle
प्लिह्,,,Y,N,*pleḱ-,N,,,missingtitle
वेह्,,,Y,N,*h₁weǵʰ-,N,,,missingtitle
जेह्,,,Y,N,*ǵʰēǵʰ-,,,,missingtitle
बाह्,,,Y,Y,*gʷeh₂-,,,,missingtitle
द्राह्,,,Y,N,*dʰregʰ-,,,,missingtitle
काश्,"k̑as-, k̑as-no-",,Y,N,*kʷeḱ-,N,*kʷeḱ-,*kā́ś-; *kā́ć-,ok
ऊह्,,,Y,N,*wegʰ-,,*h₁wegʷʰ-,,ok
गाह्,,,N,Y,*gʷʰeh₂-,,*g⁽ʷʰ⁾eh₂ǵʰ-; *gʷʰāh₂ǵʰ-; *gʷeh₂bʰ-,,ok
गृह्,,,N,N,*gʰrebʰ-,,*gʰerdʰ-,*gʰr̥dʰás,ok
ग्लह्,,,Y,Y,*gleh₂-,,,,missingtitle
घष्,,,Y,N,*gʰes-,,,,missingtitle
घुंष्,,,Y,N,*ǵʰʰwens-,,,,missingtitle
घुष्,,,Y,N,*ǵʰews-,,,*gʰawṣ-; *gʰawš-,ok
अक्ष्,,,N,N,*h₃ókʷs,,,,no_pie_found
तक्ष्,,,Y,N,*teks-,,*tetḱ-,*taṭṣ-; *taćš-,ok
त्वक्ष्,,,N,N,*twek-,,,,missingtitle
उक्ष्,,,Y,N,*ukʷ-,,*wegʷ-,,ok
रक्ष्,,,Y,N,*h₂leǵʰ-,,*h₂lek-,*Hrakṣ-; *Hrakš-,ok
निक्ष्,,,Y,N,*neygʷ-,Y,,,missingtitle
त्रक्ष्,,,Y,N,*dʰreǵʰ-,Y,,,missingtitle
स्त्रक्ष्,,,Y,N,*streǵʰ-,Y,,,missingtitle
तृक्ष्,,,Y,N,*terkʷ-,Y,,,no_pie_found
स्तृक्ष्,,,Y,N,*ster-,,,,missingtitle
नक्ष्,,,Y,N,*nokʷt-,,,,missingtitle
वक्ष्,,,Y,N,*wekʷ-,,*h₂ewg-,,ok
मृक्ष्,,,Y,N,*melǵʰ-,Y,*h₃merǵ-,,ok
म्रक्ष्,,,Y,N,*melǵʰ-,Y,,,no_pie_found
तक्ष्,,,Y,N,*teks-,,*tetḱ-,*taṭṣ-; *taćš-,ok
पक्ष्,,,Y,N,*pekʷ-,,*peg-,*pakšás; *paćšás,ok
सूर्क्ष्,,,Y,N,*sū́l-,Y,*swergʰ-,,ok
सल्,,,Y,N,*sal-,N,,,no_sanskrit_section
काङ्क्ष्,,,Y,N,*kenk-,Y,*kenk-; *kónk-s-eh₂,,ok
वाङ्क्ष्,,,Y,N,*weng-,Y,,,missingtitle
माङ्क्ष्,,,Y,N,*meng-,Y,,,missingtitle
द्राङ्क्ष्,,,Y,N,*drenk-,Y,,,missingtitle
ध्राङ्क्ष्,,,Y,N,*dʰregʷʰ-,Y,,,missingtitle
ध्वाङ्क्ष्,,,Y,N,*dʰʷegʷʰ-,Y,,,missingtitle
शुच्य्,,,Y,N,*ḱweyt-,,,,missingtitle
चूष्,,,Y,N,*ǵews-,Y,,,no_pie_found
तूष्,,,Y,Y,*tewh₂-,Y,,,missingtitle
पूष्,,,Y,Y,*pewh₂-,Y,,,missingtitle
मूष्,mūs,,Y,N,*mūs,Y,*mewsH-,*múHs,ok
लूष्,"lū̆s, genitive luu̯-ós",,Y,Y,*lewH-,Y,,,missingtitle
रूष्,,,Y,N,*reudh-,Y,,,missingtitle
शूष्,,,Y,Y,*sewh₂-,,,,missingtitle
सूष्,,,Y,Y,*sewh₁-,Y,,,missingtitle
यूष्,,,Y,N,*yūs,Y,,*yéwHs,ok
जूष्,,,Y,N,*ǵews-,N,,,missingtitle
भूष्,,,Y,Y,*bʰewH-,,,,no_pie_found
ग्लुह्,,,N,N,*glewgh-,Y,,,missingtitle
ऊष्,,,Y,N,*h₁ūs-,,,,missingtitle
ईष्,,,Y,N,*h₁eys-,N,,,missingtitle
कष्,"k̑as-, k̑as-no-",,Y,N,*kes-,Y,,,no_pie_found
खष्,,,Y,N,*ghas-,Y,,,missingtitle
शिष्,,,Y,N,*sekʷ-,,*ḱeys-,,ok
जष्,,,Y,N,*ǵʰes-,Y,,,no_pie_found
झष्,,,Y,N,*gʷʰes-,Y,,,no_pie_found
शष्,,,Y,-,,Y,,,missingtitle
वष्,,,Y,N,*wekʷ-,Y,,,missingtitle
मष्,,,Y,N,*mēs-,Y,,,missingtitle
रुष्,,,Y,N,*reus-,Y,,,no_pie_found
रिष्,,,Y,N,*h₁rei-,,,,missingtitle
भष्,,,Y,N,*bhes-,Y,,,missingtitle
उष्,,,Y,N,*h₂ews-,,*h₁ews-; *h₂éwsōs,,ok
जिष्,,,Y,N,*gies-,Y,,,missingtitle
विष्,,,N,N,*weis-,Y,*weyh₁-; *weys-,,ok
मिष्,,,Y,N,*meygʷʰ-,Y,,,missingtitle
मुष्,mūs,,Y,N,*mus-,,*mewsH-,*múHs,ok
पुष्,,,Y,N,*pus-,,*(h₃)pews-,,ok
श्रिष्,,,Y,N,*ḱley-,N,,,missingtitle
श्लिष्,,,Y,N,*sleikʷ-,,*ḱley-,*ćRayš,ok
प्रुष्,,,Y,N,*spre(u)ǵʰ-,Y,*prews-,,ok
प्लुष्,,,Y,N,*plew-,,*prews-,,ok
पृष्,,,Y,N,*pers-,,,,missingtitle
वृष्,,,Y,N,*wers-,,,,no_pie_found
मृष्,,,Y,N,*mer-,N,,,no_pie_found
घृष्,,,Y,N,*ghers-,,,*gʰarṣ-; *gʰarš-,ok
हृष्,,,Y,N,*ǵʰers-,,*ǵʰers-,,ok
तुस्,,,Y,Y,*tewh₂-,Y,,,missingtitle
ह्रस्,,,Y,N,*ḱers-,N,*ǵʰer-,,ok
ह्लस्,,,Y,N,*h₂lēys-,N,,,missingtitle
रस्,rā̆s-,,Y,N,*res-,N,*rey-,,ok
लस्,las-,,Y,N,*las-,N,*leh₂s-,*las-,ok
घस्,,,N,N,*gʷʰes-,,,*gʰas-,ok
जर्ज्,,,Y,Y,*ǵʰerh₂-,Y,,,missingtitle
चर्च्,,,Y,-,,Y,,,no_sanskrit_section
झर्झ्,,,Y,N,*ǵʰers-,Y,,,missingtitle
पिस्,,,Y,N,*peḱ-,,,,no_sanskrit_section
पेस्,,,Y,N,*pekʷ-,N,,,missingtitle
विस्,,,Y,N,*weid-,,,,missingtitle
वेस्,,,Y,N,*wes-,N,,,missingtitle
पिश्,,,Y,N,*peik-,Y,*peyḱ-,,ok
पेश्,,,Y,N,*peḱ-,,,,no_sanskrit_section
हस्,,,Y,N,*ǵʰ হেসে-,,*gʰes-; *ǵʰes-,*źʰas-; *ǰʰas-; *ȷ́ʰas-,ok
निश्,,,Y,N,*nes-,N,,,no_pie_found
मिश्,,,Y,N,*meygʷ-,,*meyḱ-,,ok
मश्,,,Y,N,*msekʷ-,Y,,,no_pie_found
शव्,,,Y,N,*kʷew-,Y,,,no_pie_found
