sanskrit_root,set,iecor_pie_root,iecor_has_laryngeal,iecor_ends_H,iecor_ends_CH,original_set,authoritative_set,dhatu_classes
त्रुट्,Y,*treu̯d-,N,N,N,Y,Y,6:Y;10:Y
कृड्,Y,*kʷer-,N,N,N,Y,Y,6:Y
स्थुड्,Y,*steh₂-,Y,N,N,Y,Y,6:Y
स्फुर्,Y,*sper-,N,N,N,Y,Y,6:Y
स्फर्,Y,*sper-,N,N,N,Y,Y,6:Y
कू,Y,*gʷeh₂-,Y,N,N,Y,Y,6:Y
पृ,N,*pelh₂-,Y,N,N,N,mixed,3:Y;5:N;6:N
मृ,N,*mer-,N,N,N,N,N,6:N
धि,N,*dʰeh₁-,Y,N,N,N,N,6:N
सू,Y,*sū̆-,N,N,N,Y,Y,2:?;4:?;6:Y
कॄ,Y,*kʷer-,N,N,N,Y,Y,6:Y;9:Y;9:Y
दृ,N,*dʰer-,N,N,N,N,N,5:N;6:N
धृ,N,*dʰer-,N,N,N,N,N,1:N;1:N;6:N
मज्ज्,N,*mers-,N,N,N,N,N,6:N
सद्,Y,*sed-,N,N,N,Y,mixed,1:N;6:N;10:Y
शद्,N,*sed-,N,N,N,N,N,1:N;6:N
मिल्,Y,*melh₂-,Y,N,N,Y,Y,6:Y;6:Y
लिप्,N,*lei̯p-,N,N,N,N,N,6:N
सिच्,N,*sei̯kʷ-,N,N,N,N,N,6:N
पिश्,Y,*pei̯k̑-,N,N,N,Y,Y,1:Y;6:Y
फुल्,Y,*bʰel-,N,N,N,Y,Y,6:Y
तृद्,Y,*terh₂-,Y,N,N,Y,Y,7:Y
शिष्,Y,*sekʷ-,N,N,N,Y,mixed,1:N;7:N;10:Y
तृह्,Y,*terh₂-,Y,N,N,Y,Y,1:Y;6:?;7:Y
उन्द्,Y,*ned-,N,N,N,Y,Y,7:Y
तञ्च्,N,*tenk-,N,N,N,N,Y,1:Y;7:?
तन्,Y,*ten-,N,N,N,Y,Y,8:Y;10:Y
सन्,Y,*h₁es-,Y,N,N,Y,Y,1:Y;8:Y
क्षण्,Y,*kes-,N,N,N,Y,Y,8:Y
ऋण्,Y,*h₂er-,Y,N,N,Y,Y,8:Y
तृण्,Y,*terh₂-,Y,N,N,Y,Y,8:Y
घृण्,Y,*gʰer-,N,N,N,Y,Y,8:Y
मन्,Y,*men-,N,N,N,Y,mixed,4:N;8:Y;10:Y
कृ,N,*kʷer-,N,N,N,N,N,5:N;8:N
शॄ,Y,*k̑er-,N,N,N,Y,Y,9:Y;9:Y
स्तॄ,Y,*sterh₃-,Y,N,N,Y,Y,9:Y
कॄ,Y,*kʷer-,N,N,N,Y,Y,6:Y;9:Y;9:Y
शॄ,Y,*k̑er-,N,N,N,Y,Y,9:Y;9:Y
पॄ,Y,*pelh₂-,Y,N,N,Y,Y,3:Y;9:Y;10:Y
भॄ,Y,*bʰer-,N,N,N,Y,Y,9:Y
मॄ,Y,*mer-,N,N,N,Y,Y,9:Y
दॄ,Y,*der-,N,N,N,Y,Y,1:Y;9:Y
जॄ,Y,*g̑erh₂-,Y,N,N,Y,Y,4:Y;9:Y;10:Y
झॄ,Y,*gʰer-,N,N,N,Y,Y,4:Y;9:Y
धॄ,Y,*dʰer-,N,N,N,Y,Y,9:Y
नॄ,Y,*h₂ner-,Y,N,N,Y,Y,1:Y;9:Y
कॄ,Y,*kʷer-,N,N,N,Y,Y,6:Y;9:Y;9:Y
ॠ,Y,*h₁er-,Y,N,N,Y,Y,9:Y
प्ली,N,*pleh₂-,Y,N,N,N,N,9:N
भ्री,N,*bʰer-,N,N,N,N,N,9:N
ज्ञा,Y,*g̑neh₃-,Y,N,N,Y,mixed,1:Y;9:N;10:Y
बन्ध्,Y,*bʰendʰ-,N,N,N,Y,mixed,9:N;10:Y
नभ्,Y,*nebʰ-,N,N,N,Y,Y,1:Y;4:Y;9:Y
अश्,Y,*h₁ed-,Y,N,N,Y,Y,5:?;9:Y
मुष्,Y,*mūs,N,N,N,Y,Y,1:Y;9:Y
यन्त्र्,Y,*h₁ed-,Y,N,N,Y,Y,10:Y
मिन्द्,Y,*men-,N,N,N,Y,Y,10:Y
लण्ड्,Y,*lendʰ-,N,N,N,Y,Y,10:Y;10:Y
बन्ध्,Y,*bʰendʰ-,N,N,N,Y,mixed,9:N;10:Y
पॄ,Y,*pelh₂-,Y,N,N,Y,Y,3:Y;9:Y;10:Y
पक्ष्,Y,*pekʷ-,N,N,N,Y,Y,1:Y;10:Y
साम्ब्,Y,*seh₂-,Y,N,N,Y,Y,10:Y
भक्ष्,Y,*bʰegʷ-,N,N,N,Y,Y,1:Y;10:Y
पिस्,Y,*pek̑-,N,N,N,Y,Y,1:Y;10:Y
सान्त्व्,Y,*seh₂-,Y,N,N,Y,Y,10:Y;10:Y
सान्त्व्,Y,*seh₂-,Y,N,N,Y,Y,10:Y;10:Y
स्मिट्,Y,*smei̯-,N,N,N,Y,Y,10:Y
स्मि,Y,*smei̯-,N,N,N,Y,mixed,1:N;10:Y
कुण्ड्,Y,*gʷʰen-,N,N,N,Y,Y,1:Y;1:Y;10:Y
गुण्ड्,Y,*gʷʰen-,N,N,N,Y,Y,10:Y
गुण्ठ्,Y,*gʷʰen-,N,N,N,Y,Y,10:Y
भण्ड्,Y,*bʰendʰ-,N,N,N,Y,Y,1:Y;10:Y
छर्द्,Y,*gʰerdʰ-,N,N,N,Y,Y,10:Y
तल्,Y,*telh₂-,Y,N,N,Y,Y,10:Y
तुल्,Y,*telh₂-,Y,N,N,Y,Y,10:Y
पुल्,Y,*pelh₂-,Y,N,N,Y,Y,1:Y;10:Y;10:Y
कल्,Y,*k̑el-,N,N,N,Y,Y,1:Y;10:Y
बिल्,Y,*bel-,N,N,N,Y,Y,6:Y;10:Y
पाल्,Y,*pelh₂-,Y,N,N,Y,Y,10:Y
पल्,Y,*pel-,N,N,N,Y,Y,1:Y;10:Y
ज्ञप्,Y,*g̑neh₃-,Y,N,N,Y,Y,10:Y
बल्,Y,*bel-,N,N,N,Y,Y,1:Y;10:Y
चि,Y,*kʷei̯-,N,N,N,Y,mixed,5:N;10:Y;10:Y
मुस्त्,Y,*mūs,N,N,N,Y,Y,10:Y
सट्ट्,Y,*sed-,N,N,N,Y,Y,10:Y
पुल्,Y,*pelh₂-,Y,N,N,Y,Y,1:Y;10:Y;10:Y
पूर्ण्,Y,*pelh₁-,Y,N,N,Y,Y,10:Y
पुण्,Y,*pelh₁-,Y,N,N,Y,Y,6:Y;10:Y
पूल्,Y,*pelh₂-,Y,N,N,Y,Y,1:Y;10:Y
अर्क्,Y,*h₂erg̑-,Y,N,N,Y,Y,10:Y
घृ,Y,*gʰer-,N,N,N,Y,mixed,1:N;3:N;10:Y
पञ्च्,Y,*penkʷe,N,N,N,Y,Y,1:Y;10:Y
कॄत्,Y,*kʷer-,N,N,N,Y,Y,10:Y
ह्लप्,Y,*klep-,N,N,N,Y,Y,10:Y
क्लप्,Y,*klep-,N,N,N,Y,Y,10:Y
अस्त्,Y,*h₁es-,Y,N,N,Y,Y,10:Y
बर्ह्,Y,*bʰerg̑ʰ-,N,N,N,Y,Y,1:Y;10:Y;10:Y
बुल्,Y,*bʰel-,N,N,N,Y,Y,10:Y
गर्ज्,Y,*g̑erh₂-,Y,N,N,Y,Y,1:Y;10:Y
पूर्व्,Y,*pel-,N,N,N,Y,Y,1:Y;10:Y
पर्थ्,Y,*per-,N,N,N,Y,Y,10:Y
दस्,Y,*deh₃-,Y,N,N,Y,Y,4:Y;10:Y
तन्त्र्,Y,*ten-,N,N,N,Y,Y,10:Y
मन्त्र्,Y,*men-,N,N,N,Y,Y,10:Y
स्पश्,Y,*spek̑-,N,N,N,Y,Y,1:Y;10:Y
तर्ज्,Y,*terkʷ-,N,N,N,Y,Y,1:Y;10:Y
गन्ध्,Y,*gʷʰen-,N,N,N,Y,Y,10:Y
किल्,Y,*k̑el-,N,N,N,Y,Y,6:Y;10:Y
पिल्,Y,*pel-,N,N,N,Y,Y,10:Y
कूण्,Y,*gʷʰen-,N,N,N,Y,Y,10:Y;10:Y
गूर्,Y,*gʷerH-,Y,Y,Y,Y,Y,4:Y;10:Y
त्रुट्,Y,*treu̯d-,N,N,N,Y,Y,6:Y;10:Y
गल्,Y,*gʷelH-,Y,Y,Y,Y,Y,1:Y;10:Y
मद्,Y,*med-,N,N,N,Y,Y,1:Y;4:Y;10:Y
गृ,Y,*gʰer-,N,N,N,Y,mixed,1:N;10:Y
मान्,Y,*men-,N,N,N,Y,Y,1:Y;10:Y;10:Y
मन्,Y,*men-,N,N,N,Y,mixed,4:N;8:Y;10:Y
पश्,Y,*spek̑-,N,N,N,Y,Y,10:Y
तंस्,Y,*tens-,N,N,N,Y,Y,10:Y
ज्ञा,Y,*g̑neh₃-,Y,N,N,Y,mixed,1:Y;9:N;10:Y
शृध्,Y,*ser-,N,N,N,Y,Y,1:Y;1:Y;10:Y
लग्,Y,*leg̑-,N,N,N,Y,Y,1:Y;10:Y
त्रस्,Y,*tres-,N,N,N,Y,Y,4:Y;10:Y
चर्,Y,*kʷer-,N,N,N,Y,Y,1:Y;10:Y
पट्,Y,*pet-,N,N,N,Y,Y,1:Y;10:Y
लक्,Y,*leg̑-,N,N,N,Y,Y,10:Y
त्रंस्,Y,*ters-,N,N,N,Y,Y,10:Y
पिंस्,Y,*pek̑-,N,N,N,Y,Y,10:Y
घण्ट्,Y,*gʷʰen-,N,N,N,Y,Y,10:Y
बृंह्,Y,*bʰerg̑ʰ-,N,N,N,Y,Y,1:Y;10:Y
बर्ह्,Y,*bʰerg̑ʰ-,N,N,N,Y,Y,1:Y;10:Y;10:Y
बल्ह्,Y,*bʰel-,N,N,N,Y,Y,1:Y;10:Y
नद्,Y,*(s)neh₁-,Y,N,N,Y,Y,1:Y;10:Y
तर्क्,Y,*terkʷ-,N,N,N,Y,Y,10:Y
शीक्,Y,*sekʷ-,N,N,N,Y,Y,1:Y;10:Y;10:Y
नण्ट्,Y,*ned-,N,N,N,Y,Y,10:Y
चि,Y,*kʷei̯-,N,N,N,Y,mixed,5:N;10:Y;10:Y
मंह्,Y,*men-,N,N,N,Y,Y,1:Y;10:Y
लण्ड्,Y,*lendʰ-,N,N,N,Y,Y,10:Y;10:Y
पूर्,Y,*pleh₁-,Y,N,N,Y,Y,4:Y;10:Y
सह्,Y,*seg̑ʰ-,N,N,N,Y,Y,1:Y;4:Y;10:Y
ईर्,Y,*h₁er-,Y,N,N,Y,Y,2:Y;10:Y
जॄ,Y,*g̑erh₂-,Y,N,N,Y,Y,4:Y;9:Y;10:Y
शिष्,Y,*sekʷ-,N,N,N,Y,mixed,1:N;7:N;10:Y
तप्,Y,*tep-,N,N,N,Y,mixed,1:N;4:N;10:Y
दृप्,Y,*dʰrebʰ-,N,N,N,Y,Y,4:?;6:Y;10:Y
दृभ्,Y,*dʰrebʰ-,N,N,N,Y,Y,6:Y;10:Y;10:Y
दृभ्,Y,*dʰrebʰ-,N,N,N,Y,Y,6:Y;10:Y;10:Y
शीक्,Y,*sekʷ-,N,N,N,Y,Y,1:Y;10:Y;10:Y
चीक्,Y,*kʷei̯-,N,N,N,Y,Y,10:Y
सद्,Y,*sed-,N,N,N,Y,mixed,1:N;6:N;10:Y
आप्,Y,*h₂ep-,Y,N,N,Y,mixed,5:N;10:Y
तन्,Y,*ten-,N,N,N,Y,Y,8:Y;10:Y
मान्,Y,*men-,N,N,N,Y,Y,1:Y;10:Y;10:Y
गर्ह्,Y,*gʷerH-,Y,Y,Y,Y,Y,1:Y;10:Y
मृष्,Y,*mer-,N,N,N,Y,Y,1:Y;4:Y;10:Y
गण,Y,*g̑neh₃-,Y,N,N,Y,Y,10:Y
पठ,Y,*peth₂-,Y,N,N,Y,Y,10:Y
पत,Y,*peth₂-,Y,N,N,Y,Y,10:Y
सार,Y,*ser-,N,N,N,Y,Y,10:Y
भाम,Y,*bʰeh₂-,Y,N,N,Y,Y,10:Y
सूच,Y,*sekʷ-,N,N,N,Y,Y,10:Y
साम,Y,*seh₂-,Y,N,N,Y,Y,10:Y
काल,Y,*k̑el-,N,N,N,Y,Y,10:Y
पल्पूल,Y,*pelh₂-,Y,N,N,Y,Y,10:Y
निवास,Y,*sed-,N,N,N,Y,Y,10:Y
सभाज,Y,*bʰag-,N,N,N,Y,Y,10:Y
सङ्केत,Y,*kʷei̯-,N,N,N,Y,Y,10:Y
ग्राम,Y,*grem-,N,N,N,Y,Y,10:Y
कुण,Y,*ken-,N,N,N,Y,Y,10:Y
गुण,Y,*gʷen-,N,N,N,Y,Y,10:Y
कूण्,Y,*gʷʰen-,N,N,N,Y,Y,10:Y;10:Y
पद,Y,*ped-,N,N,N,Y,Y,10:Y
गृह,Y,*gʰrebʰ-,N,N,N,Y,Y,10:Y
मृग,Y,*mreg̑ʰ-,N,N,N,Y,Y,10:Y
शूर,Y,*k̑er-,N,N,N,Y,Y,10:Y
सत्र,Y,*seh₁-,Y,N,N,Y,Y,10:Y
गर्व,Y,*gʷerH-,Y,Y,Y,Y,Y,10:Y
पार,Y,*per-,N,N,N,Y,Y,10:Y
कत्र,Y,*kert-,N,N,N,Y,Y,10:Y
कर्त्,Y,*kert-,N,N,N,Y,Y,10:Y
सङ्ग्राम,Y,*grem-,N,N,N,Y,Y,10:Y
कर्ण,Y,*k̑er-,N,N,N,Y,Y,10:Y
पल्यूल,Y,*pelh₂-,Y,N,N,Y,Y,10:Y
धेक,Y,*dʰeh₁-,Y,N,N,Y,Y,10:Y
